REVIEW_ID,PRODUCT_ID,CUSTOMER_ID,PLATFORM,RATING,TITLE,REVIEW_TEXT,REVIEW_URL,HELPFUL_VOTES,NOT_HELPFUL_VOTES,VERIFIED_PURCHASE,REVIEWER_SKIN_TONE,REVIEWER_SKIN_TYPE,REVIEWER_UNDERTONE,REVIEWER_AGE_RANGE,IS_APPROVED,MODERATION_STATUS,CREATED_AT,UPDATED_AT
6be746b6-9dcc-4731-b270-970b58cd3ec9,bc9c5f85-e85f-4092-8a74-c62d14a623dc,6e3fe7a6-c92b-4efb-b6d9-621f666cce75,app,4,Good everyday product,"This has become my go-to for daily use. Easy to apply, nice finish, and good staying power. The price point is reasonable for the quality you get.",https://agentcommerce.com/reviews/10e41422,42,0,True,Fair,Oily,Warm,35-44,True,approved,2025-12-31 00:00:00,
08ec57af-9af8-46a0-86ba-87a895fe5e6c,a24febc7-5697-4173-977e-89159647c5ce,f034cfe4-cbfc-4a2b-a0bf-1c09a511a698,app,4,Really impressed,"Great product overall. The formula works well and I am happy with the results. Only reason for 4 stars is the packaging could be better, but the product itself is excellent.",https://agentcommerce.com/reviews/598f98aa,21,4,True,Medium-Tan,Normal,Warm,35-44,True,approved,2025-11-16 00:00:00,
121f94a2-666e-454d-828a-dc9c486eedb0,09e26d1b-8f25-4e1e-aadc-771905801ac2,61bab324-59d4-4a42-93a5-02611347ab91,app,5,Holy grail product!,I have tried so many products and this is by far the best. The formula is lightweight yet provides great coverage. My skin looks flawless and it lasts all day without fading or getting patchy.,https://agentcommerce.com/reviews/f53b83d9,16,4,True,Deep,Normal,Cool,35-44,True,approved,2025-10-25 00:00:00,
a222923f-14c7-430e-9df0-cac9d0726c93,7c182b68-329b-4bae-aedb-49c90b87955c,0672a305-8438-468b-847a-564f5b4c82b6,app,4,Very good quality,Solid product that delivers on its promises. The color is true to description and it wears nicely throughout the day. Would recommend to anyone looking for a reliable option.,https://agentcommerce.com/reviews/8a919a81,9,5,False,Fair,Dry,Cool,35-44,True,approved,2026-01-19 00:00:00,
3babf38c-2ada-4c38-b7c5-4d0d72de0113,ae987ac7-5bac-475d-9775-a4bfbecdb5fa,9986c027-69fe-43fd-bb7f-7880560ed218,app,4,Works great for me,I have been using this for about a month and I am really pleased. It suits my skin type well and the finish is exactly what I was looking for. Minor issues with the applicator but overall great.,https://agentcommerce.com/reviews/e658495a,46,4,True,Light,Combination,Cool,35-44,True,approved,2025-11-29 00:00:00,
491b5e9d-060f-4878-bd41-a00c4a4c30cd,4bcf06ad-d689-4c06-9cdf-b46747e967b1,e95cc9d8-160e-4fd4-bd3d-e930e7a6c198,app,5,Perfect for my skin type,"Finally found something that works with my skin! No breakouts, no irritation, just beautiful results. The formula is so well-balanced and the shade match is perfect for my undertone.",https://agentcommerce.com/reviews/ae8478bd,24,1,False,Light,Combination,Cool,35-44,True,approved,2026-01-14 00:00:00,
60bbb314-2b7c-4458-8eb8-2e4cc1f67d94,bbe6ab7d-6c74-488e-ae2f-e3e49cbaa2f9,b6c20c2c-8c8b-47b7-a659-a66f1517db18,app,5,Best purchase ever,Worth every penny! The quality is exceptional and you can tell this is a premium product. It works perfectly with my skin type and the color payoff is incredible. Will definitely repurchase.,https://agentcommerce.com/reviews/dd0422d6,17,1,False,Light,Normal,Neutral,35-44,True,approved,2025-12-25 00:00:00,
e525a1ea-fc39-454a-9d37-e8ae715d9e54,2ab77968-cf07-4bea-aa90-e2bc7242b3fa,b69a8a8c-8d73-4fc6-8243-680de1f46986,app,4,Good everyday product,"This has become my go-to for daily use. Easy to apply, nice finish, and good staying power. The price point is reasonable for the quality you get.",https://agentcommerce.com/reviews/1ebf78bf,32,2,False,Medium,Normal,Neutral,35-44,True,approved,2026-02-12 00:00:00,
a6514ef4-7522-4465-8bcf-ab683d1a7a74,7ec683f6-9cca-45db-9ae7-83372dab14cc,833b4ec3-1cd8-4bd0-919c-951a12061616,app,5,Holy grail product!,I have tried so many products and this is by far the best. The formula is lightweight yet provides great coverage. My skin looks flawless and it lasts all day without fading or getting patchy.,https://agentcommerce.com/reviews/cb773fd5,6,3,True,Deep,Normal,Cool,35-44,True,approved,2026-03-13 00:00:00,
3e89c810-db9e-44ff-a4b1-29f3a70142c5,493abc5a-3c59-4b73-bee3-d4b6d52a9d7c,4462a0ea-a3b9-4a22-b973-56f2699e5185,app,5,Holy grail product!,I have tried so many products and this is by far the best. The formula is lightweight yet provides great coverage. My skin looks flawless and it lasts all day without fading or getting patchy.,https://agentcommerce.com/reviews/5d904779,26,3,True,Medium,Oily,Warm,35-44,True,approved,2026-03-06 00:00:00,
02b30d30-8768-483f-ba8b-29e0cc158f13,7ef41ff2-f31f-482f-aebd-40f53cac04f2,e311f1a7-22c3-4eeb-b2ff-c9f2b3936118,app,5,Game changer for my routine,"This has completely transformed my makeup routine. Application is smooth, the finish is beautiful, and it does not irritate my sensitive skin at all. Five stars is not enough!",https://agentcommerce.com/reviews/c5db5fac,15,5,True,Medium-Tan,Normal,Warm,35-44,True,approved,2025-10-22 00:00:00,
