PRODUCT_ID,SKU,NAME,BRAND,CATEGORY,SUBCATEGORY,DESCRIPTION,SHORT_DESCRIPTION,BASE_PRICE,CURRENT_PRICE,COST,COLOR_HEX,COLOR_LAB,COLOR_NAME,FINISH,SKIN_TONE_COMPATIBILITY,UNDERTONE_COMPATIBILITY,MONK_SCALE_MIN,MONK_SCALE_MAX,SIZE,SIZE_UNIT,INGREDIENTS,IS_VEGAN,IS_CRUELTY_FREE,SPF_VALUE,IS_ACTIVE,IS_FEATURED,LAUNCH_DATE,DISCONTINUE_DATE,CREATED_AT,UPDATED_AT,SKIN_TYPE_COMPATIBILITY
77a744db-f2c9-465c-84a4-733b21b8da24,TAR-LIP-0001,Tarte Essential Lipstick,Tarte,lips,lipstick,"A premium lipstick from Tarte. Provides long-lasting, beautiful results.",Tarte lipstick - professional quality,55.75,39.07,22.30,,,,shimmer,"[
  ""light"",
  ""tan"",
  ""deep""
]","[
  ""warm""
]",3,10,10ml,ml,,False,False,0,True,False,2024-07-15,,2025-10-11 04:35:54,2025-12-19 05:44:54,"[
  ""dry"",
  ""normal""
]"
ed76991a-5ac9-4617-aa11-0f6ae04ccf56,MAY-LIP-0002,Maybelline Ultra Lipstick,Maybelline,lips,lipstick,"A premium lipstick from Maybelline. Provides long-lasting, beautiful results.",Maybelline lipstick - professional quality,27.50,20.23,11.00,,,,metallic,"[
  ""tan"",
  ""light"",
  ""fair""
]","[
  ""cool"",
  ""neutral""
]",3,7,10ml,g,,True,True,0,True,True,2024-01-23,,2025-06-08 11:06:54,2025-12-11 02:14:54,"[
  ""dry"",
  ""normal""
]"
faf4d30d-559e-41ec-b67a-e5cd32069fbc,CHA-LIP-0003,Charlotte Tilbury Radiant Lipstick,Charlotte Tilbury,lips,lipstick,"A premium lipstick from Charlotte Tilbury. Provides long-lasting, beautiful results.",Charlotte Tilbury lipstick - professional quality,29.06,22.00,11.62,,,,matte,"[
  ""medium"",
  ""light"",
  ""deep"",
  ""fair"",
  ""tan""
]","[
  ""cool""
]",1,7,5ml,ml,,True,True,0,True,False,2024-10-29,,2025-04-01 00:49:54,2025-12-11 19:30:54,"[
  ""oily"",
  ""dry"",
  ""normal"",
  ""combination""
]"
676aa57a-ad37-4b0f-a77b-7d5f46d781dc,LAU-LIP-0004,Laura Mercier Radiant Lipstick,Laura Mercier,lips,lipstick,"A premium lipstick from Laura Mercier. Provides long-lasting, beautiful results.",Laura Mercier lipstick - professional quality,22.87,22.87,9.15,,,,glossy,"[
  ""deep"",
  ""tan"",
  ""fair""
]","[
  ""warm""
]",2,10,50ml,ml,,False,False,0,True,False,2025-01-17,,2025-08-10 02:24:54,2025-11-27 12:44:54,"[
  ""dry"",
  ""normal""
]"
906dc344-db0d-461b-9f99-9a9ddedc6c55,LAU-LIP-0005,Laura Mercier Perfect Lip Liner,Laura Mercier,lips,lip liner,"A premium lip liner from Laura Mercier. Provides long-lasting, beautiful results.",Laura Mercier lip liner - professional quality,38.27,38.27,15.31,,,,metallic,"[
  ""deep"",
  ""light"",
  ""fair""
]","[
  ""neutral"",
  ""cool"",
  ""warm""
]",3,8,30ml,g,,True,False,0,True,False,2024-12-10,,2025-02-12 13:50:54,2025-11-19 03:30:54,"[
  ""dry"",
  ""normal""
]"
c9e22254-ef93-429a-9bba-8939d75e80f2,SUM-LIP-0006,Summer Fridays Classic Lip Liner,Summer Fridays,lips,lip liner,"A premium lip liner from Summer Fridays. Provides long-lasting, beautiful results.",Summer Fridays lip liner - professional quality,63.49,63.49,25.40,,,,glossy,"[
  ""deep"",
  ""medium"",
  ""tan""
]","[
  ""cool"",
  ""warm"",
  ""neutral""
]",2,10,30ml,ml,,False,True,0,True,False,2024-07-02,,2025-02-28 03:03:54,2025-11-23 20:46:54,"[
  ""dry"",
  ""normal""
]"
42945b9a-a394-40ea-8313-703880379eb9,THE-LIP-0007,The Ordinary Perfect Lip Balm,The Ordinary,lips,lip balm,"A premium lip balm from The Ordinary. Provides long-lasting, beautiful results.",The Ordinary lip balm - professional quality,32.85,32.85,13.14,,,,shimmer,"[
  ""tan"",
  ""fair"",
  ""deep"",
  ""light""
]","[
  ""warm"",
  ""cool"",
  ""neutral""
]",1,10,10ml,g,,False,True,0,True,False,2025-04-28,,2025-02-05 23:47:54,2025-11-28 03:30:54,"[
  ""dry"",
  ""normal""
]"
bc7b2942-4814-443f-9f83-ae30887b7ea7,SUM-LIP-0008,Summer Fridays Glow Lip Liner,Summer Fridays,lips,lip liner,"A premium lip liner from Summer Fridays. Provides long-lasting, beautiful results.",Summer Fridays lip liner - professional quality,53.89,39.40,21.56,,,,shimmer,"[
  ""deep"",
  ""fair"",
  ""medium""
]","[
  ""neutral"",
  ""warm"",
  ""cool""
]",2,7,50ml,g,,True,False,0,True,False,2025-03-19,,2025-05-31 12:40:54,2025-12-09 15:43:54,"[
  ""dry"",
  ""normal""
]"
f24faa8d-5b25-4088-97d3-7677b8963326,MIL-LIP-0009,Milk Makeup Pro Lipstick,Milk Makeup,lips,lipstick,"A premium lipstick from Milk Makeup. Provides long-lasting, beautiful results.",Milk Makeup lipstick - professional quality,36.22,36.22,14.49,,,,metallic,"[
  ""light"",
  ""medium"",
  ""deep""
]","[
  ""cool"",
  ""neutral"",
  ""warm""
]",1,9,5ml,ml,,False,True,0,True,False,2024-03-28,,2025-02-01 21:17:54,2025-12-15 13:02:54,"[
  ""dry"",
  ""normal""
]"
5baa4be0-04e2-4b87-bc26-1da30e353f4a,CLI-LIP-0010,Clinique Perfect Lip Liner,Clinique,lips,lip liner,"A premium lip liner from Clinique. Provides long-lasting, beautiful results.",Clinique lip liner - professional quality,49.45,49.45,19.78,,,,shimmer,"[
  ""light"",
  ""deep"",
  ""medium"",
  ""fair""
]","[
  ""cool"",
  ""neutral"",
  ""warm""
]",2,6,3g,g,,False,False,0,True,False,2025-02-28,,2025-01-04 13:37:55,2025-12-04 09:09:55,"[
  ""dry"",
  ""normal""
]"
